smiles,pka
NC1C=NNC1=O,7.06
NCCCCNOCCCN,10.47
COC(=N)CCCl,6.02
CNCCCC(=O)O,10.61
N#CCC(=O)NN,2.54
NNCC1CCCCC1,5.89
C=Cc1ccccn1,4.86
CC/C(C)=N/O,3.23
O=Cc1ccncc1,3.2
OCCc1ccncc1,5.46
NCCCNCCCC=O,10.25
CNCC(F)(F)F,5.29
CCCN1CCCCC1,10.27
NCCCNCCCCCS,10.68
Cc1cc(N)no1,2.44
CCN1CCCC1CN,9.88
OCCN1CCNCC1,9.27
CCc1ccccc1N,4.4
CCN(CCO)CCO,8.97
ClCCN1CCCC1,8.56
CC(O)CN(C)C,9.23
SCCc1cnccn1,1.14
OCCc1ccccn1,5.27
CN(C)CCOCCO,8.87
CC(C)(N)C#N,6.89
OCCC1CCCCN1,10.06
Cn1ccc(N)n1,3.84
Nc1cc[nH]n1,4.38
Sc1ncc[nH]1,5.58
CCOc1ccccn1,2.93
Cc1cc[nH]n1,3.58
COc1ncccc1N,3.38
CCN(CC)CCCl,8.46
Cn1ccncc1=N,9.99
CN1CCSCC1=N,11.23
CCN1CCSC1=N,10.03
Cc1ncccc1CO,5.5
Cc1cccnc1CO,5.23
ClCc1cccnc1,4.82
CN1CCCSC1=N,10.52
CNN1CCSC1=N,8.48
CC1(C)COCN1,8.95
CN(CCCl)CCCl,6.08
Nc1cccc(O)c1,4.02
NCCCc1ccccc1,10.05
CN(CCBr)CCBr,6.4
CN1CNC=C1CCN,9.82
NCc1ccccc1Cl,9.0
NCc1cc(O)no1,5.03
CCCCCCC(O)CN,9.59
NCC(O)C1CCC1,9.58
CC(C)CC(O)CN,9.59
NCC1(O)CCCC1,9.64
NCCN(CCN)CCN,9.85
Nc1nncc(O)n1,2.88
Cc1cccc(C)n1,6.54
CN1CCCC(O)C1,9.18
CN1CCC(O)CC1,9.03
OCCNc1ccncc1,8.82
CNCCc1ccccn1,9.77
CN(C)CC(O)CO,8.6
CN(CCCN)CCCN,10.26
CNCCCCCCCCNC,10.85
Nc1ccc(F)cc1,3.8
O=C(O)C1CCN1,10.68
CCNCCCNCCCCN,10.76
CCNCCCCNCCCN,10.87
NCCCCCNCCCCN,10.94
CNCCCCNCCCNC,10.87
CCCNCCCNCCCN,10.62
Nc1ccc(I)cc1,3.86
Cc1ccnc(N)c1,7.62
CNCCc1ccccc1,10.13
ClCCNCCNCCCl,8.74
CCC(N)C(=O)O,9.53
NC(CS)C(=O)O,9.05
Nc1nccc(O)n1,2.27
Nc1cc(O)ncn1,2.91
Cc1ccc(N)cc1,4.99
Nc1cccc(F)c1,3.22
NC1CNC(=O)O1,5.03
Cc1cccc(N)n1,7.6
CC(N)CCC(C)N,10.73
CC(CN)C(C)CN,10.52
CC(N)C(C)CCN,10.65
C=C=CCNCCCCN,10.28
Cc1ccc(N)nc1,7.22
CC(N)CC(C)CN,10.64
CSc1ncc[nH]1,5.44
CCc1ncc[nH]1,7.39
Clc1ncc[nH]1,4.43
Brc1ncc[nH]1,4.75
CN1CCCC(F)C1,7.98
Nc1c[nH]nc1O,1.29
Cc1sc(N)nc1O,2.24
O=C(O)C1CNC1,10.41
NCCCCCC(=O)O,10.21
CC(=O)NCCCCN,9.9
CC1NCC(O)C1O,9.95
Cc1ncsc1CCCl,3.18
NNCCc1ccccc1,5.55
NCc1c[nH]cn1,8.36
ON=C1CCCCCC1,3.44
CCCCCn1ccnc1,6.54
C=C(C)/C=N/O,3.56
CC1COC(N)=N1,7.48
CC1CN=C(N)O1,7.64
Nc1ccc(O)cc1,5.43
Cc1nnc(C)n1N,2.9
CCC(N)(CO)CO,9.54
Nc1ccnc(N)c1,9.88
Nc1cccc(N)n1,8.72
NCc1cc(O)ns1,8.18
Cc1ccc(O)cn1,5.8
CCCCCC/C=N/O,3.56
IC#CCn1cncn1,2.17
IC#CCn1ccnc1,6.68
IC#CCn1cccn1,2.38
NCCCN1CCOCC1,9.87
NCCCN1CCCCC1,10.18
O=NN(CCO)CCO,3.15
CC(C)C(=O)NN,3.27
CC1CN=C(N)C1,11.62
CC1CCC(N)=N1,11.49
CC1CN=C(N)S1,9.2
CC1CSCCN=C1N,11.34
NS(=O)(=O)NO,0.27
NCCc1ccccc1F,9.66
NCCCc1nonc1O,10.04
NCCOc1ccccc1,9.28
NCCCc1cccnc1,10.05
C#Cc1ccccc1N,3.72
CCCCCCCCNCCO,10.0
Nc1ccc(N)cc1,6.46
NCCCNCCNCCCN,10.29
OCCN(CCO)CCO,8.44
CNCP(C)(=O)O,9.0
CC(C)=CCNC=N,11.53
CC1CCC(N)CC1,10.45
NCCc1ccccc1I,9.73
Cc1ccccc1CCN,9.8
CC(C)SC(=N)N,10.56
Cc1ccnc(S)n1,1.38
CCCCCn1cncn1,2.07
CCc1nnc(S)s1,0.24
NCCCCCCCCCCN,10.51
NCC(N)C(=O)O,9.57
CC(C)CC(N)CS,10.56
CC(C)(CN)CCN,10.38
NCCCC(F)(F)F,10.2
CCNCc1ccccc1,9.49
NCc1nnc(O)o1,6.78
NCc1nnc(S)o1,7.19
CNc1cnccc1CN,8.64
CNc1ccccc1CN,8.88
C#CCN(C)CCCC,8.91
N#CCN1CCOCC1,3.58
CC(C)SCCNCCN,9.77
NC(CO)(CO)CO,8.95
C1CN2CCC1CC2,10.9
NOCCOCCOCCON,4.68
NCC1CCCCC1ON,10.14
C1CC2CCC1CN2,10.34
NCP(=O)(O)CO,9.26
CN(C)CC(=O)O,9.69
Brc1c[nH]cn1,4.88
Nc1ccnc(N)n1,7.55
NCCP(=O)(O)O,10.43
OCc1c[nH]cn1,6.0
CNc1nnc(S)s1,0.14
CCCCn1ccnc1C,7.1
CCOc1ccccc1N,4.44
C=CCn1cnnc1S,2.03
Nc1cccc(N)c1,5.48
CCCNc1ncccn1,3.43
Oc1cc(O)ncn1,0.1
NC1CCCCCC1=O,8.13
OCCNC1=NCCN1,11.26
NCCOc1ccccn1,9.28
NCS(=O)(=O)O,7.38
NCCSCCC(=O)O,9.72
ClCCN1CCSCC1,7.35
OCCNc1ccccc1,4.2
NCc1nnn[nH]1,8.59
NCCCOCC(=O)O,10.14
Nc1ccc(I)cn1,5.1
C#CCNCC(=O)O,8.36
CC(N)CC(=O)O,10.53
NCCCSCC(=O)O,10.18
NNc1ccccc1Cl,4.87
COC(=N)C(C)C,7.35
CCCN1CC=CCC1,9.76
NCCCCCNOCCCN,10.47
Nc1nnc(N)n1N,3.36
CCCCNSSNCCCC,5.5
CN(C)SSN(C)C,2.45
CC1CCCC(C)N1,10.56
CCCCCCC(C)NN,5.92
COCCc1ccccn1,5.26
CC/C=C/N=C=S,2.14
CN(C)C1CSSC1,8.36
CCNCc1cccnc1,9.02
CC=Cc1cccnc1,4.91
NCc1cnn(O)c1,8.15
Nc1ncc(Cl)s1,3.91
CN1C=CN(C)C1,4.53
NCc1ccccc1CO,8.89
CN(C)CCN(C)C,9.01
Cc1cccc(N)c1,4.86
C1CN2CCN1CC2,9.76
Cc1ccccc1N=O,2.02
NCCN1CCNC1=O,9.15
CC(C)CCCCCCN,10.21
CC(C)(C)NCCO,10.06
